Rule	Support	Head Coverage	Confidence	PCA Confidence	Positive Examples	Body size	PCA Body size	Prediction variable
?f  <diedIn>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <wasBornIn>  ?b	0,000042869	0,00109529	0,019047619	0,083333333	2	105	24	?a
?a  <hasChild>  ?f  ?f  <wasBornIn>  ?b   => ?a  <wasBornIn>  ?b	0,000321516	0,008214677	0,091463415	0,326086957	15	164	46	?a
?a  <influences>  ?f  ?f  <wasBornIn>  ?b   => ?a  <wasBornIn>  ?b	0,000042869	0,00109529	0,008733624	0,025	2	229	80	?a
?e  <diedIn>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <wasBornIn>  ?b	0,000085738	0,002190581	0,023529412	0,153846154	4	170	26	?a
?b  <created>  ?f  ?a  <directed>  ?f   => ?a  <isMarriedTo>  ?b	0,000064303	0,00179964	0,021126761	0,15	3	142	20	?b
?a  <produced>  ?f  ?b  <produced>  ?f   => ?a  <isMarriedTo>  ?b	0,000107172	0,0029994	0,023364486	0,108695652	5	214	46	?b
?a  <actedIn>  ?f  ?b  <produced>  ?f   => ?a  <isMarriedTo>  ?b	0,000128606	0,00359928	0,050420168	0,113207547	6	119	53	?b
?b  <actedIn>  ?f  ?a  <produced>  ?f   => ?a  <isMarriedTo>  ?b	0,000150041	0,00419916	0,058823529	0,12962963	7	119	54	?b
?e  <influences>  ?a  ?e  <wasBornIn>  ?b   => ?a  <wasBornIn>  ?b	0,000064303	0,001642935	0,005484461	0,037037037	3	547	81	?a
?b  <actedIn>  ?f  ?a  <directed>  ?f   => ?a  <isMarriedTo>  ?b	0,000235778	0,00659868	0,084615385	0,203703704	11	130	54	?b
?e  <hasChild>  ?a  ?e  <wasBornIn>  ?b   => ?a  <wasBornIn>  ?b	0,00034295	0,008762322	0,047477745	0,290909091	16	337	55	?a
?a  <created>  ?f  ?b  <directed>  ?f   => ?a  <isMarriedTo>  ?b	0,000064303	0,00179964	0,021126761	0,130434783	3	142	23	?b
?a  <isLeaderOf>  ?f  ?b  <isLeaderOf>  ?f   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,018348624	0,181818182	2	109	11	?b
?a  <actedIn>  ?f  ?b  <directed>  ?f   => ?a  <isMarriedTo>  ?b	0,000278647	0,00779844	0,1	0,282608696	13	130	46	?b
?a  <diedIn>  ?f  ?b  <wasBornIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000085738	0,00239952	0,000729395	0,005943536	4	5484	673	?b
?a  <actedIn>  ?f  ?b  <created>  ?f   => ?a  <isMarriedTo>  ?b	0,000150041	0,00419916	0,03125	0,155555556	7	224	45	?b
?a  <hasChild>  ?b  ?b  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0,00034295	0,00959808	0,8	1	16	20	16	?b
?b  <hasChild>  ?f  ?f  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,002392344	0,004683841	2	836	427	?b
?a  <livesIn>  ?f  ?b  <livesIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000128606	0,00359928	0,005785921	0,09375	6	1037	64	?b
?b  <hasChild>  ?a  ?a  <hasChild>  ?b   => ?a  <isMarriedTo>  ?b	0,000235778	0,00659868	0,785714286	0,916666667	11	14	12	?b
?a  <graduatedFrom>  ?f  ?b  <graduatedFrom>  ?f   => ?a  <isMarriedTo>  ?b	0,000064303	0,00179964	0,003147954	0,090909091	3	953	33	?b
?a  <hasChild>  ?f  ?b  <isMarriedTo>  ?f   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,002534854	0,004132231	2	789	484	?b
?b  <actedIn>  ?f  ?a  <created>  ?f   => ?a  <isMarriedTo>  ?b	0,000128606	0,00359928	0,026785714	0,071428571	6	224	84	?b
?a  <diedIn>  ?f  ?b  <diedIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000300081	0,00839832	0,003183989	0,027667984	14	4397	506	?b
?f  <hasChild>  ?a  ?b  <isMarriedTo>  ?f   => ?a  <isMarriedTo>  ?b	0,000064303	0,00179964	0,001744186	0,002624672	3	1720	1143	?b
?a  <isInterestedIn>  ?f  ?b  <isInterestedIn>  ?f   => ?a  <influences>  ?b	0,000042869	0,000710732	0,03030303	0,03030303	2	66	66	?b
?e  <hasChild>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,000942063	0,004474273	2	2123	447	?b
?b  <diedIn>  ?f  ?a  <wasBornIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,000364697	0,003194888	2	5484	626	?b
?a  <isCitizenOf>  ?f  ?b  <isCitizenOf>  ?f   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,000194288	0,005102041	2	10294	392	?b
?a  <influences>  ?f  ?b  <influences>  ?f   => ?a  <isMarriedTo>  ?b	0,000042869	0,00119976	0,000580552	0,005050505	2	3445	396	?b
?a  <wasBornIn>  ?f  ?b  <wasBornIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000235778	0,00659868	0,000883818	0,008017493	11	12446	1372	?b
?a  <actedIn>  ?f  ?b  <directed>  ?f   => ?a  <influences>  ?b	0,000042869	0,000710732	0,015384615	0,142857143	2	130	14	?b
?a  <hasWonPrize>  ?f  ?b  <hasWonPrize>  ?f   => ?a  <isMarriedTo>  ?b	0,000128606	0,00359928	0,000374018	0,004040404	6	16042	1485	?b
?a  <graduatedFrom>  ?f  ?b  <graduatedFrom>  ?f   => ?a  <influences>  ?b	0,000064303	0,001066098	0,003147954	0,02970297	3	953	101	?b
?a  <hasChild>  ?f  ?f  <isMarriedTo>  ?b   => ?a  <isMarriedTo>  ?b	0,000085738	0,00239952	0,004784689	0,004784689	4	836	836	?b
?a  <actedIn>  ?f  ?b  <actedIn>  ?f   => ?a  <isMarriedTo>  ?b	0,000621597	0,017396521	0,01874596	0,065909091	29	1547	440	?b
?a  <hasChild>  ?f  ?b  <hasChild>  ?f   => ?a  <isMarriedTo>  ?b	0,006280276	0,175764847	0,146940822	0,385019711	293	1994	761	?b
?e  <influences>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <influences>  ?b	0,000042869	0,000710732	0,006872852	0,006872852	2	291	291	?b
?a  <isCitizenOf>  ?f  ?b  <isCitizenOf>  ?f   => ?a  <influences>  ?b	0,00019291	0,003198294	0,000874296	0,01910828	9	10294	471	?b
?e  <influences>  ?b  ?a  <isMarriedTo>  ?e   => ?a  <influences>  ?b	0,000042869	0,000710732	0,00591716	0,00591716	2	338	338	?b
?a  <hasWonPrize>  ?f  ?b  <hasWonPrize>  ?f   => ?a  <influences>  ?b	0,000171475	0,002842928	0,000498691	0,012924071	8	16042	619	?b
?a  <isKnownFor>  ?f  ?b  <isKnownFor>  ?f   => ?a  <hasChild>  ?b	0,000085738	0,001461988	0,01843318	0,121212121	4	217	33	?b
?b  <diedIn>  ?f  ?a  <wasBornIn>  ?f   => ?a  <influences>  ?b	0,000107172	0,00177683	0,000911743	0,01607717	5	5484	311	?b
?a  <diedIn>  ?f  ?b  <diedIn>  ?f   => ?a  <influences>  ?b	0,000064303	0,001066098	0,000682283	0,011070111	3	4397	271	?b
?b  <actedIn>  ?f  ?a  <created>  ?f   => ?a  <influences>  ?b	0,000042869	0,000710732	0,008928571	0,055555556	2	224	36	?b
?a  <livesIn>  ?f  ?b  <livesIn>  ?f   => ?a  <hasChild>  ?b	0,000150041	0,00255848	0,006750241	0,068627451	7	1037	102	?b
?a  <created>  ?f  ?b  <created>  ?f   => ?a  <isMarriedTo>  ?b	0,00019291	0,00539892	0,004677755	0,063829787	9	1924	141	?b
?e  <hasChild>  ?a  ?e  <hasChild>  ?b   => ?a  <isMarriedTo>  ?b	0,00034295	0,00959808	0,001439496	0,01105736	16	11115	1447	?b
?e  <hasChild>  ?a  ?e  <isMarriedTo>  ?b   => ?a  <isMarriedTo>  ?b	0,000107172	0,0029994	0,002355158	0,002355158	5	2123	2123	?b
?a  <actedIn>  ?f  ?b  <actedIn>  ?f   => ?a  <influences>  ?b	0,000171475	0,002842928	0,005171299	0,04519774	8	1547	177	?b
?a  <diedIn>  ?f  ?b  <diedIn>  ?f   => ?a  <hasChild>  ?b	0,000085738	0,001461988	0,000909711	0,007476636	4	4397	535	?b
?b  <diedIn>  ?f  ?a  <wasBornIn>  ?f   => ?a  <hasChild>  ?b	0,000042869	0,000730994	0,000364697	0,003384095	2	5484	591	?b
?a  <hasWonPrize>  ?f  ?b  <hasWonPrize>  ?f   => ?a  <hasChild>  ?b	0,000042869	0,000730994	0,000124673	0,019417476	2	16042	103	?b
?f  <isMarriedTo>  ?a  ?b  <isMarriedTo>  ?f   => ?a  <hasChild>  ?b	0,000064303	0,001096491	0,002991027	0,008547009	3	1003	351	?b
?b  <hasChild>  ?a  ?a  <isMarriedTo>  ?b   => ?a  <hasChild>  ?b	0,000235778	0,004020468	0,55	0,611111111	11	20	18	?b
?b  <hasChild>  ?a  ?b  <isMarriedTo>  ?a   => ?a  <hasChild>  ?b	0,000235778	0,004020468	0,366666667	0,55	11	30	20	?b
?a  <hasChild>  ?f  ?b  <isMarriedTo>  ?f   => ?a  <hasChild>  ?b	0,000321516	0,005482456	0,019011407	0,038461538	15	789	390	?b
?a  <wasBornIn>  ?f  ?b  <wasBornIn>  ?f   => ?a  <influences>  ?b	0,000064303	0,001066098	0,000241041	0,005025126	3	12446	597	?b
?a  <diedIn>  ?f  ?b  <wasBornIn>  ?f   => ?a  <hasChild>  ?b	0,000235778	0,004020468	0,002005835	0,019713262	11	5484	558	?b
?a  <created>  ?b  ?a  <produced>  ?b   => ?a  <actedIn>  ?b	0,000428688	0,004065867	0,238095238	0,714285714	20	84	28	?b
?a  <directed>  ?b  ?a  <produced>  ?b   => ?a  <actedIn>  ?b	0,000257213	0,00243952	0,181818182	0,571428571	12	66	21	?b
?a  <created>  ?b  ?a  <directed>  ?b   => ?a  <actedIn>  ?b	0,000428688	0,004065867	0,09009009	0,5	20	222	40	?b
?f  <hasChild>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <hasChild>  ?b	0,01440391	0,245614035	0,390697674	0,390697674	672	1720	1720	?b
?a  <influences>  ?f  ?b  <influences>  ?f   => ?a  <influences>  ?b	0,005894457	0,097725657	0,079825835	0,086641462	275	3445	3174	?b
?a  <isMarriedTo>  ?f  ?b  <isMarriedTo>  ?f   => ?a  <hasChild>  ?b	0,000107172	0,001827485	0,002535497	0,008143322	5	1972	614	?b
?a  <hasChild>  ?f  ?f  <produced>  ?b   => ?a  <actedIn>  ?b	0,000064303	0,00060988	0,081081081	0,230769231	3	37	13	?b
?f  <actedIn>  ?b  ?a  <hasChild>  ?f   => ?a  <actedIn>  ?b	0,000107172	0,001016467	0,014662757	0,014662757	5	341	341	?b
?f  <hasChild>  ?b  ?a  <hasChild>  ?f   => ?a  <hasChild>  ?b	0,000321516	0,005482456	0,008152174	0,008152174	15	1840	1840	?b
?f  <actedIn>  ?b  ?a  <influences>  ?f   => ?a  <actedIn>  ?b	0,000150041	0,001423053	0,008883249	0,008883249	7	788	788	?b
?e  <isMarriedTo>  ?b  ?a  <isMarriedTo>  ?e   => ?a  <hasChild>  ?b	0,000042869	0,000730994	0,001994018	0,005509642	2	1003	363	?b
?e  <isMarriedTo>  ?a  ?e  <produced>  ?b   => ?a  <actedIn>  ?b	0,000278647	0,002642814	0,056034483	0,151162791	13	232	86	?b
?a  <isMarriedTo>  ?e  ?e  <produced>  ?b   => ?a  <actedIn>  ?b	0,000214344	0,002032934	0,041841004	0,126582278	10	239	79	?b
?e  <hasChild>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <hasChild>  ?b	0,014425344	0,245979532	0,317004239	0,317004239	673	2123	2123	?b
?f  <directed>  ?b  ?a  <influences>  ?f   => ?a  <actedIn>  ?b	0,000042869	0,000406587	0,017857143	0,068965517	2	112	29	?b
?e  <directed>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <actedIn>  ?b	0,000707335	0,006708681	0,098802395	0,305555556	33	334	108	?b
?e  <influences>  ?b  ?a  <influences>  ?e   => ?a  <influences>  ?b	0,009238222	0,153162758	0,068608723	0,068608723	431	6282	6282	?b
?a  <wasBornIn>  ?f  ?b  <wasBornIn>  ?f   => ?a  <hasChild>  ?b	0,000385819	0,006578947	0,001446248	0,019565217	18	12446	920	?b
?a  <hasChild>  ?e  ?e  <isMarriedTo>  ?b   => ?a  <hasChild>  ?b	0,000321516	0,005482456	0,017942584	0,037878788	15	836	396	?b
?e  <directed>  ?b  ?a  <isMarriedTo>  ?e   => ?a  <actedIn>  ?b	0,000621597	0,005895507	0,116	0,329545455	29	250	88	?b
?a  <hasChild>  ?f  ?b  <hasChild>  ?f   => ?a  <hasChild>  ?b	0,000257213	0,004385965	0,006018054	0,016172507	12	1994	742	?b
?f  <created>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <actedIn>  ?b	0,000235778	0,002236227	0,008252063	0,186440678	11	1333	59	?b
?a  <actedIn>  ?f  ?b  <actedIn>  ?f   => ?a  <hasChild>  ?b	0,000107172	0,001827485	0,003232062	0,083333333	5	1547	60	?b
?a  <hasChild>  ?f  ?f  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,000364385	0,002647975	0,257575758	0,257575758	17	66	66	?b
?a  <hasCapital>  ?f  ?f  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,000042869	0,000311526	0,029850746	0,029850746	2	67	67	?b
?e  <created>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <actedIn>  ?b	0,000171475	0,001626347	0,009334889	0,140350877	8	857	57	?b
?f  <participatedIn>  ?b  ?a  <participatedIn>  ?f   => ?a  <participatedIn>  ?b	0,000064303	0,00046729	0,75	0,75	3	4	4	?b
?e  <actedIn>  ?b  ?e  <hasChild>  ?a   => ?a  <actedIn>  ?b	0,000107172	0,001016467	0,005302227	0,005302227	5	943	943	?b
?f  <actedIn>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <actedIn>  ?b	0,001157457	0,010977841	0,020331325	0,020331325	54	2656	2656	?b
?e  <actedIn>  ?b  ?e  <influences>  ?a   => ?a  <actedIn>  ?b	0,000171475	0,001626347	0,003006389	0,003006389	8	2661	2661	?b
?e  <hasCapital>  ?a  ?e  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,000042869	0,000311526	0,000531773	0,000531773	2	3761	3761	?b
?e  <hasChild>  ?a  ?e  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,000364385	0,002647975	0,1328125	0,1328125	17	128	128	?b
?a  <dealsWith>  ?f  ?f  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0,000085738	0,000601142	0,052631579	0,363636364	4	76	11	?a
?f  <hasCapital>  ?b  ?a  <isCitizenOf>  ?f   => ?a  <isLocatedIn>  ?b	0,000107172	0,000751428	0,012787724	0,166666667	5	391	30	?a
?e  <actedIn>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <actedIn>  ?b	0,001157457	0,010977841	0,017606782	0,017606782	54	3067	3067	?b
?a  <isCitizenOf>  ?f  ?b  <isLocatedIn>  ?f   => ?a  <isLocatedIn>  ?b	0,000150041	0,001051999	0,00102504	0,016746411	7	6829	418	?a
?e  <dealsWith>  ?a  ?e  <isLocatedIn>  ?b   => ?a  <isLocatedIn>  ?b	0,000064303	0,000450857	0,034482759	0,230769231	3	87	13	?a
?e  <isCitizenOf>  ?b  ?e  <isLocatedIn>  ?a   => ?a  <isLocatedIn>  ?b	0,000128606	0,000901713	0,214285714	0,428571429	6	28	14	?a
?e  <isCitizenOf>  ?b  ?e  <livesIn>  ?a   => ?a  <isLocatedIn>  ?b	0,000128606	0,000901713	0,096774194	0,545454545	6	62	11	?a
?e  <diedIn>  ?a  ?e  <isCitizenOf>  ?b   => ?a  <isLocatedIn>  ?b	0,000321516	0,002254283	0,288461538	0,441176471	15	52	34	?a
?a  <actedIn>  ?b  ?a  <directed>  ?b   => ?a  <created>  ?b	0,000428688	0,002065262	0,333333333	0,952380952	20	60	21	?b
?e  <diedIn>  ?a  ?e  <livesIn>  ?b   => ?a  <isLocatedIn>  ?b	0,000064303	0,000450857	0,088235294	0,3	3	34	10	?a
?a  <actedIn>  ?b  ?a  <produced>  ?b   => ?a  <created>  ?b	0,000428688	0,002065262	0,333333333	0,909090909	20	60	22	?b
?e  <livesIn>  ?b  ?e  <wasBornIn>  ?a   => ?a  <isLocatedIn>  ?b	0,000150041	0,001051999	0,047945205	0,194444444	7	146	36	?a
?e  <isCitizenOf>  ?b  ?e  <wasBornIn>  ?a   => ?a  <isLocatedIn>  ?b	0,000514425	0,003606853	0,235294118	0,52173913	24	102	46	?a
?e  <livesIn>  ?a  ?e  <livesIn>  ?b   => ?a  <isLocatedIn>  ?b	0,000300081	0,002103998	0,024647887	0,153846154	14	568	91	?a
?f  <directed>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <created>  ?b	0,000064303	0,000309789	0,012	0,051724138	3	250	58	?b
?f  <actedIn>  ?b  ?a  <influences>  ?f   => ?a  <created>  ?b	0,000042869	0,000206526	0,002538071	0,025641026	2	788	78	?b
?e  <directed>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <created>  ?b	0,000064303	0,000309789	0,008982036	0,052631579	3	334	57	?b
?f  <created>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <created>  ?b	0,000793072	0,003820735	0,027756939	0,027756939	37	1333	1333	?b
?f  <actedIn>  ?b  ?a  <isMarriedTo>  ?f   => ?a  <created>  ?b	0,000171475	0,000826105	0,003012048	0,060150376	8	2656	133	?b
?e  <created>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <created>  ?b	0,000793072	0,003820735	0,043173862	0,043173862	37	857	857	?b
?a  <created>  ?f  ?b  <created>  ?f   => ?a  <influences>  ?b	0,000257213	0,004264392	0,006237006	0,028915663	12	1924	415	?b
?a  <created>  ?e  ?e  <hasChild>  ?b   => ?a  <created>  ?b	0,000042869	0,000206526	0,222222222	1	2	9	2	?b
?a  <participatedIn>  ?f  ?b  <participatedIn>  ?f   => ?a  <participatedIn>  ?b	0,000064303	0,00046729	0,000996016	0,6	3	3012	5	?b
?e  <actedIn>  ?b  ?e  <isMarriedTo>  ?a   => ?a  <created>  ?b	0,000235778	0,001135894	0,003586567	0,068322981	11	3067	161	?b
?e  <hasChild>  ?a  ?e  <hasChild>  ?b   => ?a  <hasChild>  ?b	0,000321516	0,005482456	0,001349528	0,001349528	15	11115	11115	?b
?f  <created>  ?b  ?a  <influences>  ?f   => ?a  <created>  ?b	0,000364385	0,001755473	0,002706145	0,002706145	17	6282	6282	?b
?e  <dealsWith>  ?a  ?e  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,013439362	0,097663551	0,042644358	0,042644358	627	14703	14703	?b
?e  <created>  ?b  ?e  <influences>  ?a   => ?a  <actedIn>  ?b	0,000042869	0,000406587	0,000057554	0,002770083	2	34750	722	?b
?a  <dealsWith>  ?f  ?f  <participatedIn>  ?b   => ?a  <participatedIn>  ?b	0,014939769	0,108566978	0,021762208	0,021762208	697	32028	32028	?b
?e  <created>  ?a  ?e  <created>  ?b   => ?a  <hasChild>  ?b	0,000042869	0,000730994	0,000004966	0,043478261	2	402773	46	?b
?e  <created>  ?b  ?e  <influences>  ?a   => ?a  <created>  ?b	0,000364385	0,001755473	0,000489209	0,000489209	17	34750	34750	?b
?e  <influences>  ?a  ?e  <influences>  ?b   => ?a  <influences>  ?b	0,009731213	0,161336176	0,00884473	0,00884473	454	51330	51330	?b
